series_id,season_id,stage,event_id,event_start_epoch
AAAA,32,1,5286558,1767601200
AAAA,32,1,5286640,1767608400
AAAA,32,1,5286712,1767615600
AAAA,32,1,5286786,1767622800
AAAA,32,1,5286641,1767633600
AAAA,32,1,5286677,1767637200
AAAA,32,1,5286590,1767640800
AAAA,32,1,5286642,1767658800
AAAA,32,1,5286714,1767666000
AAAA,32,1,5286676,1767687600
AAAA,32,1,5286743,1767694800
AAAA,32,1,5286819,1767702000
AAAA,32,1,5286637,1767709200
AAAA,32,1,5286622,1767720000
AAAA,32,1,5286784,1767723600
AAAA,32,1,5286820,1767727200
AAAA,32,1,5286744,1767745200
AAAA,32,1,5286821,1767752400
AAAA,32,1,5286785,1767774000
AAAA,32,1,5286605,1767781200
AAAA,32,1,5286673,1767788400
AAAA,32,1,5286742,1767795600
AAAA,32,1,5286730,1767806400
AAAA,32,1,5286635,1767810000
AAAA,32,1,5286674,1767813600
AAAA,32,1,5286602,1767831600
AAAA,32,1,5286672,1767838800
AAAA,32,1,5286636,1767860400
AAAA,32,1,5286711,1767867600
AAAA,32,1,5286782,1767874800
AAAA,32,1,5286604,1767882000
AAAA,32,1,5286587,1767892800
AAAA,32,1,5286739,1767896400
AAAA,32,1,5286783,1767900000
AAAA,32,1,5286709,1767918000
AAAA,32,1,5286778,1767925200
AAAA,32,1,5286741,1767946800
AAAA,32,1,5286817,1767954000
AAAA,32,1,5286634,1767961200
AAAA,32,1,5286710,1767968400
AAAA,32,1,5286813,1767979200
AAAA,32,1,5286601,1767982800
AAAA,32,1,5286629,1767986400
AAAA,32,1,5286814,1768004400
AAAA,32,1,5286630,1768011600
AAAA,32,1,5286599,1768033200
AAAA,32,1,5286668,1768040400
AAAA,32,1,5286734,1768047600
AAAA,32,1,5286816,1768054800
AAAA,32,1,5286669,1768065600
AAAA,32,1,5286708,1768069200
AAAA,32,1,5286618,1768072800
AAAA,32,1,5286671,1768090800
AAAA,32,1,5286736,1768098000
AAAA,32,1,5286707,1768119600
AAAA,32,1,5286775,1768126800
AAAA,32,1,5286597,1768134000
AAAA,32,1,5286665,1768141200
AAAA,32,1,5286776,1768152000
AAAA,32,1,5286808,1768155600
AAAA,32,1,5286725,1768159200
AAAA,32,1,5286777,1768177200
AAAA,32,1,5286598,1768184400
AAAA,32,2,5286559,1768206000
AAAA,32,2,5286737,1768213200
AAAA,32,2,5286695,1768220400
AAAA,32,2,5286607,1768227600
AAAA,32,2,5286619,1768238400
AAAA,32,2,5286720,1768242000
AAAA,32,2,5286693,1768245600
AAAA,32,2,5286735,1768263600
AAAA,32,2,5286694,1768270800
AAAA,32,2,5286719,1768292400
AAAA,32,2,5286658,1768299600
AAAA,32,2,5286580,1768306800
AAAA,32,2,5286738,1768314000
AAAA,32,2,5286659,1768324800
AAAA,32,2,5286609,1768328400
AAAA,32,2,5286703,1768332000
AAAA,32,2,5286656,1768350000
AAAA,32,2,5286581,1768357200
AAAA,32,2,5286608,1768378800
AAAA,32,2,5286799,1768386000
AAAA,32,2,5286721,1768393200
AAAA,32,2,5286655,1768400400
AAAA,32,2,5286802,1768411200
AAAA,32,2,5286765,1768414800
AAAA,32,2,5286593,1768418400
AAAA,32,2,5286803,1768436400
AAAA,32,2,5286717,1768443600
AAAA,32,2,5286768,1768465200
AAAA,32,2,5286692,1768472400
AAAA,32,2,5286603,1768479600
AAAA,32,2,5286801,1768486800
AAAA,32,2,5286687,1768497600
AAAA,32,2,5286657,1768501200
AAAA,32,2,5286731,1768504800
AAAA,32,2,5286685,1768522800
AAAA,32,2,5286606,1768530000
AAAA,32,2,5286649,1768551600
AAAA,32,2,5286579,1768558800
AAAA,32,2,5286762,1768566000
AAAA,32,2,5286691,1768573200
AAAA,32,2,5286702,1768584000
AAAA,32,2,5286797,1768587600
AAAA,32,2,5286763,1768591200
AAAA,32,2,5286577,1768609200
AAAA,32,2,5286761,1768616400
AAAA,32,2,5286798,1768638000
AAAA,32,2,5286715,1768645200
AAAA,32,2,5286654,1768652400
AAAA,32,2,5286573,1768659600
AAAA,32,2,5286591,1768670400
AAAA,32,2,5286683,1768674000
AAAA,32,2,5286652,1768677600
AAAA,32,2,5286713,1768695600
AAAA,32,2,5286653,1768702800
AAAA,32,2,5286681,1768724400
AAAA,32,2,5286626,1768731600
AAAA,32,2,5286794,1768738800
AAAA,32,2,5286716,1768746000
AAAA,32,2,5286753,1768756800
AAAA,32,2,5286575,1768760400
AAAA,32,2,5286790,1768764000
AAAA,32,2,5286624,1768782000
AAAA,32,2,5286791,1768789200
AAAA,32,3,5286562,1768810800
AAAA,32,3,5286811,1768818000
AAAA,32,3,5286638,1768825200
AAAA,32,3,5286589,1768832400
AAAA,32,3,5286812,1768843200
AAAA,32,3,5286726,1768846800
AAAA,32,3,5286639,1768850400
AAAA,32,3,5286809,1768868400
AAAA,32,3,5286627,1768875600
AAAA,32,3,5286727,1768897200
AAAA,32,3,5286675,1768904400
AAAA,32,3,5286621,1768911600
AAAA,32,3,5286810,1768918800
AAAA,32,3,5286662,1768929600
AAAA,32,3,5286588,1768933200
AAAA,32,3,5286740,1768936800
AAAA,32,3,5286663,1768954800
AAAA,32,3,5286620,1768962000
AAAA,32,3,5286585,1768983600
AAAA,32,3,5286779,1768990800
AAAA,32,3,5286728,1768998000
AAAA,32,3,5286664,1769005200
AAAA,32,3,5286780,1769016000
AAAA,32,3,5286818,1769019600
AAAA,32,3,5286822,1769023200
AAAA,32,3,5286781,1769041200
AAAA,32,3,5286729,1769048400
AAAA,32,3,5286815,1769070000
AAAA,32,3,5286631,1769077200
AAAA,32,3,5286583,1769084400
AAAA,32,3,5286771,1769091600
AAAA,32,3,5286632,1769102400
AAAA,32,3,5286661,1769106000
AAAA,32,3,5286706,1769109600
AAAA,32,3,5286633,1769127600
AAAA,32,3,5286584,1769134800
AAAA,32,3,5286670,1769156400
AAAA,32,3,5286610,1769163600
AAAA,32,3,5286805,1769170800
AAAA,32,3,5286628,1769178000
AAAA,32,3,5286732,1769188800
AAAA,32,3,5286769,1769192400
AAAA,32,3,5286806,1769196000
AAAA,32,3,5286611,1769214000
AAAA,32,3,5286807,1769221200
AAAA,32,3,5286770,1769242800
AAAA,32,3,5286724,1769250000
AAAA,32,3,5286666,1769257200
AAAA,32,3,5286616,1769264400
AAAA,32,3,5286596,1769275200
AAAA,32,3,5286749,1769278800
AAAA,32,3,5286667,1769282400
AAAA,32,3,5286722,1769300400
AAAA,32,3,5286660,1769307600
AAAA,32,3,5286750,1769329200
AAAA,32,3,5286586,1769336400
AAAA,32,3,5286773,1769343600
AAAA,32,3,5286723,1769350800
AAAA,32,3,5286701,1769361600
AAAA,32,3,5286615,1769365200
AAAA,32,3,5286774,1769368800
AAAA,32,3,5286578,1769386800
