category,womens,min,max
Copper,FALSE,0,650
Bronze,FALSE,650,850
Silver,FALSE,850,1000
Gold,FALSE,1000,1150
Platinum,FALSE,1150,1300
Amethyst,FALSE,1300,1450
Sapphire,FALSE,1450,1650
Emerald,FALSE,1650,1900
Ruby,FALSE,1900,2200
Diamond,FALSE,2200,10000
Copper,TRUE,0,400
Bronze,TRUE,400,550
Silver,TRUE,550,650
Gold,TRUE,650,750
Platinum,TRUE,750,850
Amethyst,TRUE,850,950
Sapphire,TRUE,950,1100
Emerald,TRUE,1100,1250
Ruby,TRUE,1250,1400
Diamond,TRUE,1400,10000

